SITE_ID,TIMESERIES_ID,START_DATETIME,END_DATETIME,CORRECTION_FACTOR,DESCRIPTION,CORRECTION_ID
BUNNY,LWIN_RAW,2020-08-10 09:30:00,2020-08-17 15:00:00,1.00924,Long wave radiation correction,LW_CORR
BUNNY,LWOUT_RAW,2020-08-10 09:30:00,2020-08-17 15:00:00,1.01746,Long wave radiation correction,LW_CORR
CHIMN,SWIN_RAW,2020-08-18 12:00:00,2020-09-15 08:00:00,0.95997,Short wave radiation correction,SCALAR
PLYNL,G1_RAW,2019-11-15 09:00:00,2019-11-16 00:00:00,1.3024,Heat flux plate calibration correction,SCALAR
PLYNL,G2_RAW,2019-11-15 09:00:00,2019-11-16 00:00:00,1.1784,Heat flux plate calibration correction,SCALAR
PLYNL,G1_RAW,2020-10-22 11:30:00,2020-10-23 00:00:00,1.3356,Heat flux plate calibration correction,SCALAR
PLYNL,G2_RAW,2020-10-22 11:30:00,2020-10-23 00:00:00,1.1788,Heat flux plate calibration correction,SCALAR
PLYNL,G1_RAW,2020-10-30 14:30:00,2020-10-31 00:00:00,1.3119,Heat flux plate calibration correction,SCALAR
PLYNL,G2_RAW,2020-10-30 14:30:00,2020-10-31 00:00:00,1.2179,Heat flux plate calibration correction,SCALAR
SHEEP,CTS_MOD_RAW,2021-07-07 13:00:00,,0.59151,CRS2000 set to be primary CRS. Permantent correction requires to match previous CRS1000,SCALAR
BALRD,PRECIPITATION_RAW,2014-05-16 00:30:00,2014-07-29 14:30:00,0.005,Precipitation values are x200,SCALAR
HARTW,PRECIPITATION_RAW,2014-05-20 00:30:00,2014-07-30 10:30:00,0.005,Precipitation values are x200,SCALAR
HOLLN,PRECIPITATION_RAW,2014-03-25 00:30:00,2014-07-17 05:00:00,0.005,Precipitation values are x200,SCALAR
ROTHD,PRECIPITATION_RAW,2014-08-02 14:30:00,2014-08-06 08:30:00,0.005,Precipitation values are x200,SCALAR
WADDN,PRECIPITATION_RAW,2014-10-04 03:30:00,2014-10-16 15:00:00,0.005,Precipitation values are x200,SCALAR
BALRD,WD_RAW,2014-05-16 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
BICKL,WD_RAW,2015-01-28 17:00:00,,,Wind direction orientation calculated incorrectly in program,WD
BUNNY,WD_RAW,2015-01-27 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
CARDT,WD_RAW,2015-06-24 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
CGARW,WD_RAW,2016-06-29 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
CHOBH,WD_RAW,2015-02-24 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
COCLP,WD_RAW,2014-11-21 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
CRICH,WD_RAW,2014-12-02 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
EASTB,WD_RAW,2014-08-14 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
ELMST,WD_RAW,2016-08-11 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
EUSTN,WD_RAW,2016-03-31 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
GISBN,WD_RAW,2014-08-15 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
GLENS,WD_RAW,2014-05-14 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
GLENW,WD_RAW,2016-06-15 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
HADLW,WD_RAW,2016-10-27 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
HARTW,WD_RAW,2014-05-20 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
HENFS,WD_RAW,2015-12-17 00:00:00,,,Wind direction orientation calculated incorrectly in program,WD
