Location Name,PlacingStartDate,PlacingEndDate,Manufacturer,Model,Version,SerialNumber,Comment,PPM
Glensaugh,20-Aug-24,,Campbell Scientific Ltd,CR3000,,8943,,TRUE
Campbell Sci Ltd,20-Aug-24,,Campbell Scientific Ltd,CR3000,,8969,,TRUE
Glensaugh,20-Aug-24,,Campbell Scientific Ltd,SR50A,,7221,,TRUE
Campbell Sci Ltd,20-Aug-24,,Campbell Scientific Ltd,SR50A,,11154,,TRUE
Campbell Sci Ltd,20-Aug-24,,Vaisala,HMP155,E,T4731071,,TRUE
Glensaugh,20-Aug-24,,Vaisala,PTB110,,T4740220,,TRUE
Campbell Sci Ltd,20-Aug-24,,Vaisala,PTB110,,T4650764,,TRUE
Glensaugh,20-Aug-24,,Vaisala,HMP155,A,S5130137,,TRUE
Bickley Hall,21-Aug-24,11-Sep-24,OTT,Pluvio2,,340989,,FALSE
Balruddery,21-Aug-24,,Campbell Scientific Ltd,CR3000,,10065,,TRUE
Campbell Sci Ltd,21-Aug-24,,Campbell Scientific Ltd,CR3000,,10261,,TRUE
Balruddery,21-Aug-24,,Vaisala,HMP155,E,T4740216,,TRUE
Campbell Sci Ltd,21-Aug-24,,Vaisala,HMP155,E,T2650701,,TRUE
Balruddery,21-Aug-24,,Vaisala,PTB110,,T4741135,PPM,TRUE
Campbell Sci Ltd,21-Aug-24,,Vaisala,PTB110,,T4740224,PPM,TRUE
Balruddery,21-Aug-24,,Campbell Scientific Ltd,NL115,,13332,,TRUE
Balruddery,21-Aug-24,,Acclima,TDT,SDI-12,6503253,,TRUE
Campbell Sci Ltd,21-Aug-24,,Acclima,TDT,SDI-12,6501130,,TRUE
Wallingford,22-Aug-24,03-Oct-24,Gill,Windmaster,3D Sonic Anemometer,140401,,FALSE
Stiperstones,22-Aug-24,,Gill,Windmaster,3D Sonic Anemometer,191201,,FALSE
Moreton Morrell,27-Aug-24,,Vaisala,HMP155,A,P4020592,,TRUE
Moreton Morrell,27-Aug-24,,Gill,Windmaster,3D Sonic Anemometer,140313,,TRUE
Campbell Sci Ltd,27-Aug-24,,Gill,Windmaster,3D Sonic Anemometer,180904,,TRUE
Chimney Meadows,28-Aug-24,,Vaisala,HMP155,E,T4721224,,TRUE
Campbell Sci Ltd,28-Aug-24,,Vaisala,HMP155,E,T4721223,,TRUE
Chimney Meadows,28-Aug-24,,Lambrecht,rainE,,881821.0033,,TRUE
Campbell Sci Ltd,28-Aug-24,,Lambrecht,rainE,,881821.0053,,TRUE
Morley,29-Aug-24,,Gill,Windmaster,3D Sonic Anemometer,140303,Reactive mainteance,FALSE
Wallingford,29-Aug-24,03-Oct-24,Gill,Windmaster,3D Sonic Anemometer,140304,Reactive mainteance,FALSE
Sheepdrove,29-Aug-24,,Vaisala,HMP155,A,L1320538,PPM,TRUE
Campbell Sci Ltd,29-Aug-24,,Vaisala,HMP155,E,T4721219,PPM,TRUE
Sheepdrove,29-Aug-24,31-Oct-24,Campbell Scientific Ltd,CR3000,,12798,PPM,TRUE
Campbell Sci Ltd,29-Aug-24,,Campbell Scientific Ltd,CR3000,,12862,PPM,TRUE
Sheepdrove,29-Aug-24,,Vaisala,PTB110,,P0710627,PPM,TRUE
Campbell Sci Ltd,29-Aug-24,,Vaisala,PTB110,,K442011,PPM,TRUE
Sheepdrove,29-Aug-24,,Lambrecht,rainE,,881821.0052,PPM,TRUE
Campbell Sci Ltd,29-Aug-24,,Lambrecht,rainE,,881821.0015,PPM,TRUE
