Location Name,PlacingStartDate,PlacingEndDate,Manufacturer,Model,Version,SerialNumber,Comment,PPM
Spen Farm,24-Apr-24,,Mobotix,Lens Cover,,SPENFN240424,,TRUE
Campbell Sci Ltd,24-Apr-24,,Mobotix,Lens Cover,,SPENFN251220,,TRUE
Spen Farm,24-Apr-24,,Mobotix,Lens Cover,,SPENFS240424,,TRUE
Campbell Sci Ltd,24-Apr-24,,Mobotix,Lens Cover,,SPENFS251220,,TRUE
Spen Farm,24-Apr-24,,Vaisala,HMP155,E,T4731075,,TRUE
Hollin Hill,25-Apr-24,,Hukseflux,NR01,,1937,PPM,TRUE
Campbell Sci Ltd,25-Apr-24,,Hukseflux,NR01,,2457,PPM,TRUE
Hollin Hill,25-Apr-24,,Vaisala,HMP155,E,T4741136,PPM,TRUE
Campbell Sci Ltd,25-Apr-24,,Vaisala,HMP155,A,P4020597,PPM,TRUE
Hollin Hill,25-Apr-24,,Lambrecht,rainE,,881821.0028,PPM,TRUE
Campbell Sci Ltd,25-Apr-24,,Lambrecht,rainE,,881821.0032,PPM,TRUE
Hollin Hill,25-Apr-24,,Vaisala,PTB110,,M1120820,PPM,TRUE
Campbell Sci Ltd,25-Apr-24,14-Aug-24,Vaisala,PTB110,,T4650757,PPM,TRUE
Tadham Moor,30-Apr-24,06-Jun-24,OTT,Pluvio2,,341001,,TRUE
Tadham Moor,30-Apr-24,30-May-24,Vaisala,HMP155,A,V1051034,PPM,TRUE
Tadham Moor,30-Apr-24,,Campbell Scientific Ltd,CR3000,,10262,PPM,TRUE
Wallingford,30-Apr-24,08-Aug-24,Campbell Scientific Ltd,CR3000,,12799,PPM,TRUE
Tadham Moor,30-Apr-24,,Vaisala,HMP155,E,T4741142,PPM,TRUE
Campbell Sci Ltd,30-Apr-24,,OTT,Pluvio2,,342246,,FALSE
Campbell Sci Ltd,30-Apr-24,,Hukseflux,NR01,,4413,,FALSE
North Wyke,01-May-24,,Campbell Scientific Ltd,CR3000,,9893,PPM,TRUE
Wallingford,01-May-24,07-Aug-24,Campbell Scientific Ltd,CR3000,,11256,PPM,TRUE
North Wyke,01-May-24,,Vaisala,HMP155,E,T4741137,PPM,TRUE
Wallingford,01-May-24,21-May-24,Vaisala,HMP155,E,V1051033,PPM,TRUE
The Lizard,02-May-24,,Gill,Windmaster,3D Sonic Anemometer,160817,PPM,TRUE
Campbell Sci Ltd,02-May-24,,Gill,Windmaster,3D Sonic Anemometer,191205,PPM,TRUE
The Lizard,02-May-24,,Vaisala,HMP155,A,N5050074,PPM,TRUE
Euston Estate,08-May-24,,Vaisala,PTB110,,T4650714,,TRUE
Euston Estate,08-May-24,,Hukseflux,NR01,,2153,PPM,TRUE
