ID,SERIAL_NUMBER,START_DATETIME,END_DATETIME,FIRMWARE,INSTRUMENT_ID
450,9706,15/08/2018,,CR3000.Std.31.03,LOGGER
451,9706,,19/01/2017,CR3000.Std.29,LOGGER
452,9706,31/01/2017,15/08/2018,CR3000.Std.31,LOGGER
453,9706,19/01/2017,31/01/2017,CR3000.Std.30.01,LOGGER
454,9764,02/08/2017,,CR3000.Std.31.03,LOGGER
455,9766,29/03/2017,10/10/2018,CR3000.Std.31,LOGGER
456,9766,10/10/2018,,CR3000.Std.31.03,LOGGER
457,9766,18/01/2017,29/03/2017,CR3000.Std.30.01,LOGGER
458,9770,21/08/2018,,CR3000.Std.31.03,LOGGER
459,9770,28/01/2018,21/08/2018,CR3000.Std.31,LOGGER
460,9838,07/03/2017,28/09/2017,CR3000.Std.31,LOGGER
461,9838,28/09/2017,,CR3000.Std.31.03,LOGGER
462,9838,29/06/2016,07/03/2017,CR3000.Std.30.01,LOGGER
463,9866,21/09/2018,,CR3000.Std.31.03,LOGGER
464,9866,,21/09/2018,CR3000.Std.29,LOGGER
465,9889,11/06/2019,,CR3000.Std.32.03,LOGGER
466,9889,11/04/2018,11/06/2019,CR3000.Std.31.03,LOGGER
467,9891,04/07/2017,,CR3000.Std.31.03,LOGGER
468,9893,16/08/2017,,CR3000.Std.31.03,LOGGER
469,9894,,28/06/2018,CR3000.Std.29,LOGGER
470,9894,28/06/2018,,CR3000.Std.31.03,LOGGER
471,9896,28/11/2016,25/01/2017,CR3000.Std.30.01,LOGGER
472,9896,01/08/2017,,CR3000.Std.31.03,LOGGER
473,9896,25/01/2017,01/08/2017,CR3000.Std.31,LOGGER
474,9897,13/03/2018,,CR3000.Std.31.03,LOGGER
475,9897,10/08/2017,13/03/2018,CR3000.Std.29,LOGGER
476,9898,07/06/2017,,CR3000.Std.31.03,LOGGER
477,9969,26/09/2017,,CR3000.Std.31.03,LOGGER
478,9969,,26/09/2017,CR3000.Std.30.01,LOGGER
479,9971,,24/01/2017,CR3000.Std.27,LOGGER
480,9971,24/01/2017,01/11/2018,CR3000.Std.30.01,LOGGER
481,9971,01/11/2018,,CR3000.Std.31.03,LOGGER
482,PL2L-432785,01/08/2022,,1.03.0,RG
483,PL2L-451506,12/12/2019,,1.03.0,RG
484,PL2L-451507,18/11/2019,17/07/2020,1.03.0,RG
485,PL2L-451507,17/07/2020,,1.50.3,RG
486,PL2L-451528,18/11/2019,,1.03.0,RG
487,PL2L-451529,18/11/2019,,1.03.0,RG
488,PL2L-451530,18/11/2019,,1.03.0,RG
489,PL2L-451531,18/11/2019,,1.03.0,RG
490,PL2L-451532,18/11/2019,,1.03.0,RG
491,PL2L-451533,18/11/2019,,1.03.0,RG
492,PL2L-451534,18/11/2019,,1.03.0,RG
493,PL2L-451582,22/07/2020,,1.03.0,RG
494,PL2L-451583,11/12/2019,,1.03.0,RG
495,PL2L-451585,28/08/2020,,1.03.0,RG
496,PL2L-451586,12/02/2020,,1.03.0,RG
497,PL2L-451658,18/12/2019,,1.03.0,RG
498,PL2L-451659,13/09/2022,,1.03.0,RG
499,PL2L-451660,19/02/2020,,1.03.0,RG
500,PL2L-451661,19/12/2019,,1.03.0,RG
501,PL2L-451662,19/12/2019,,1.03.0,RG
