ID,SERIAL_NUMBER,START_DATETIME,END_DATETIME,FIRMWARE,INSTRUMENT_ID
49,10.16.106.73,29/10/2020,16/04/2021,4.7.2.21,PHENOCAM
50,10.16.106.73,16/04/2021,,4.7.3.11,PHENOCAM
51,10.16.44.182,02/09/2020,,4.7.2.21,PHENOCAM
52,10.16.44.183,21/09/2021,,4.7.3.11,PHENOCAM
53,10.16.44.221,05/08/2021,,4.7.3.11,PHENOCAM
54,10.16.44.221,30/09/2020,05/08/2021,4.7.2.21,PHENOCAM
55,10.16.46.222,18/05/2021,,4.7.3.11,PHENOCAM
56,10.16.46.222,15/07/2020,18/05/2021,4.7.2.21,PHENOCAM
57,10.16.46.232,09/07/2021,,4.7.3.11,PHENOCAM
58,10.16.46.232,22/07/2020,09/07/2021,4.7.2.21,PHENOCAM
59,10.16.46.235,01/06/2021,,4.7.3.11,PHENOCAM
60,10.16.46.240,27/10/2020,07/07/2021,4.7.2.21,PHENOCAM
61,10.16.46.240,07/07/2021,,4.7.3.11,PHENOCAM
62,10.16.46.68,28/11/2018,26/05/2021,4.7.2.21,PHENOCAM
63,10.16.46.68,26/05/2021,,4.7.3.11,PHENOCAM
64,10.16.58.159,06/07/2021,,4.7.3.11,PHENOCAM
65,10.16.65.218,12/08/2021,,4.7.3.11,PHENOCAM
66,10.16.65.218,20/10/2020,12/08/2021,4.7.2.21,PHENOCAM
67,10.16.91.35,18/08/2021,,4.7.3.11,PHENOCAM
68,10.16.91.35,14/10/2020,18/08/2021,4.7.2.21,PHENOCAM
69,10.18.125.138,22/09/2021,,4.7.3.11,PHENOCAM
70,10.18.125.138,10/11/2020,22/09/2021,4.7.2.21,PHENOCAM
71,10.18.153.191,04/08/2020,27/04/2021,4.7.2.21,PHENOCAM
72,10.18.153.191,27/04/2021,,4.7.3.11,PHENOCAM
73,10.20.154.167,13/05/2021,,4.7.3.11,PHENOCAM
74,10.20.154.167,11/08/2020,13/05/2021,4.7.2.21,PHENOCAM
75,10.20.170.244,29/09/2020,03/08/2021,4.7.2.21,PHENOCAM
76,10.20.170.244,03/08/2021,,4.7.3.11,PHENOCAM
77,10.20.170.252,06/05/2021,,4.7.3.11,PHENOCAM
78,10.20.170.252,29/07/2020,06/05/2021,4.7.2.21,PHENOCAM
79,10.20.177.245,07/10/2020,26/08/2021,4.7.2.21,PHENOCAM
80,10.20.177.245,26/08/2021,,4.7.3.11,PHENOCAM
81,10.20.186.135,11/11/2020,,4.7.2.21,PHENOCAM
82,10.20.196.51,13/04/2021,,4.7.3.11,PHENOCAM
83,10.20.196.51,17/07/2020,,4.7.2.21,PHENOCAM
84,10.20.199.147,31/07/2020,29/04/2021,4.7.2.21,PHENOCAM
85,10.20.199.147,29/04/2021,,4.7.3.11,PHENOCAM
86,10.22.81.21,03/06/2021,,5.4.0.49,PHENOCAM
87,10.22.81.21,23/07/2020,03/06/2021,5.2.3.30,PHENOCAM
88,10060,23/08/2018,,CR3000.Std.31.03,LOGGER
89,10060,,23/08/2018,CR3000.Std.29,LOGGER
90,10065,23/03/2017,24/10/2018,CR3000.Std.31,LOGGER
91,10065,24/10/2018,,CR3000.Std.31.03,LOGGER
92,10065,,23/03/2017,CR3000.Std.29,LOGGER
93,10258,29/11/2017,,CR3000.Std.31.03,LOGGER
94,10258,,19/04/2017,CR3000.Std.29,LOGGER
95,10258,19/04/2017,29/11/2017,CR3000.Std.31,LOGGER
96,10259,17/08/2018,,CR3000.Std.31.03,LOGGER
97,10259,,17/08/2018,CR3000.Std.29,LOGGER
98,10260,31/08/2017,,CR3000.Std.31.03,LOGGER
99,10260,,20/04/2017,CR3000.Std.29,LOGGER
100,10260,20/04/2017,31/08/2017,CR3000.Std.31,LOGGER
101,10261,12/01/2017,22/02/2017,CR3000.Std.30.01,LOGGER
102,10261,16/12/2016,12/01/2017,CR3000.Std.29,LOGGER
103,10261,14/12/2016,16/12/2016,CR3000.Std.30.01,LOGGER
104,10261,22/02/2017,15/06/2017,CR3000.Std.31,LOGGER
105,10261,15/06/2017,,CR3000.Std.31.03,LOGGER
106,10261,06/05/2016,14/12/2016,CR3000.Std.29,LOGGER
107,10262,,27/06/2018,CR3000.Std.29,LOGGER
108,10262,27/06/2018,,CR3000.Std.31.03,LOGGER
109,10973,26/06/2018,,,LOGGER
110,11010,13/02/2020,,CR3000.Std.31.03,LOGGER
111,11011,15/01/2019,,CR3000.Std.32.03,LOGGER
112,11011,16/11/2018,15/01/2019,CR3000.Std.31.03,LOGGER
113,11012,12/02/2020,,CR3000.Std.32.03,LOGGER
114,11022,13/02/2020,,CR3000.Std.31.03,LOGGER
115,11249,28/11/2018,,CR3000.Std.31.03,LOGGER
116,12787,11/11/2020,,CR3000.Std.31.03,LOGGER
117,12798,22/10/2020,,CR3000.Std.31.03,LOGGER
118,12799,28/01/2019,,CR3000.Std.32.03,LOGGER
119,12799,21/03/2019,28/01/2020,CR3000.Std.31.03,LOGGER
120,12802,08/09/2020,,CR3000.Std.31.03,LOGGER
121,12862,18/11/2020,,CR3000.Std.31.03,LOGGER
122,12865,24/08/2019,,CR3000.Std.31.03,LOGGER
123,12977,23/10/2019,,CR3000.Std.31.03,LOGGER
124,13007,31/07/2020,,CR3000.Std.31.03,LOGGER
125,13072,16/07/2020,,CR3000.Std.31.03,LOGGER
126,13073,21/07/2020,,CR3000.Std.31.03,LOGGER
127,140301,30/03/2019,,2329 701 01,AWS_ANEM
128,140301,25/03/2014,30/03/2019,2329 600,AWS_ANEM
129,140302,01/01/2021,,2329 701,AWS_ANEM
130,140303,25/03/2014,01/01/2021,2329 600 01,AWS_ANEM
131,140303,01/01/2021,,2329 701,AWS_ANEM
132,140304,25/03/2014,,2329 600 01,AWS_ANEM
133,140305,25/03/2014,09/08/2019,2329 600,AWS_ANEM
134,140305,09/08/2019,,2329 701 01,AWS_ANEM
135,140313,25/03/2014,,2329 600 01,AWS_ANEM
136,140314,01/01/2020,,2329 701 01,AWS_ANEM
137,140314,25/03/2014,01/01/2020,2329 600,AWS_ANEM
138,140315,25/03/2014,01/01/2021,2329 601 01,AWS_ANEM
139,140315,01/01/2021,,2329 701,AWS_ANEM
140,140316,25/03/2014,01/01/2018,2329 600,AWS_ANEM
141,140316,01/01/2018,,2329 701 01,AWS_ANEM
142,140317,25/03/2014,01/01/2020,2329 600,AWS_ANEM
143,140317,01/01/2020,,2329 701 01,AWS_ANEM
144,140318,01/01/2020,,2329 701 01,AWS_ANEM
145,140318,25/03/2014,01/01/2020,2329 600,AWS_ANEM
146,140319,25/03/2014,,2329 600 01,AWS_ANEM
147,140320,25/03/2014,,2329 600 01,AWS_ANEM
148,140321,25/03/2014,,2329 600 01,AWS_ANEM
149,140322,25/03/2014,01/01/2019,2329 600,AWS_ANEM
150,140322,01/01/2019,,2329 701 01,AWS_ANEM
151,140401,25/03/2014,,2329 600 01,AWS_ANEM
152,140402,09/08/2019,,2329 701 01,AWS_ANEM
153,140402,25/03/2014,09/08/2019,2329 600,AWS_ANEM
154,140403,09/08/2019,,2329 701 01,AWS_ANEM
