TIMESERIES_ID,TIMESERIES_DEF,PARAMETER_ID
COSMOS-ALIC1-LWIN_UNC_30MIN_RAW,LWIN_UNC_30MIN_RAW,LWIN_UNC
COSMOS-ALIC1-LWIN_UNC_STD_30MIN_RAW,LWIN_UNC_STD_30MIN_RAW,LWIN_UNC
COSMOS-ALIC1-LWOUT_UNC_30MIN_RAW,LWOUT_UNC_30MIN_RAW,LWOUT_UNC
COSMOS-ALIC1-LWOUT_UNC_STD_30MIN_RAW,LWOUT_UNC_STD_30MIN_RAW,LWOUT_UNC
COSMOS-ALIC1-LWIN_30MIN_RAW,LWIN_30MIN_RAW,LWIN
COSMOS-ALIC1-LWIN_STD_30MIN_RAW,LWIN_STD_30MIN_RAW,LWIN
COSMOS-ALIC1-LWOUT_30MIN_RAW,LWOUT_30MIN_RAW,LWOUT
COSMOS-ALIC1-LWOUT_STD_30MIN_RAW,LWOUT_STD_30MIN_RAW,LWOUT
COSMOS-ALIC1-TNR01C_30MIN_RAW,TNR01C_30MIN_RAW,TEMP_RADIOMETER
COSMOS-ALIC1-TNR01C_STD_30MIN_RAW,TNR01C_STD_30MIN_RAW,TEMP_RADIOMETER
COSMOS-ALIC1-PRECIP_30MIN_RAW,PRECIP_30MIN_RAW,PRECIPITATION
COSMOS-ALIC1-PRECIP_DIAG_30MIN_RAW,PRECIP_DIAG_30MIN_RAW,DIAG_PRECIP
COSMOS-ALIC1-SNOWD_DISTANCE_UNC_30MIN_RAW,SNOWD_DISTANCE_UNC_30MIN_RAW,SNOWD_DISTANCE_UNC
COSMOS-ALIC1-SNOWD_SIGNALQUALITY_30MIN_RAW,SNOWD_SIGNALQUALITY_30MIN_RAW,SNOWD_SIGNALQUALITY
COSMOS-ALIC1-CTS_MOD_30MIN_RAW,CTS_MOD_30MIN_RAW,CTS
COSMOS-ALIC1-CTS_BARE_30MIN_RAW,CTS_BARE_30MIN_RAW,CTS
COSMOS-ALIC1-CTS_MOD2_30MIN_RAW,CTS_MOD2_30MIN_RAW,CTS
COSMOS-ALIC1-PROFILE_VWC15_30MIN_RAW,PROFILE_VWC15_30MIN_RAW,VWC_SOIL_15
COSMOS-ALIC1-PROFILE_SOILEC15_30MIN_RAW,PROFILE_SOILEC15_30MIN_RAW,COND_15
COSMOS-ALIC1-PROFILE_VWC40_30MIN_RAW,PROFILE_VWC40_30MIN_RAW,VWC_SOIL_40
COSMOS-ALIC1-PROFILE_SOILEC40_30MIN_RAW,PROFILE_SOILEC40_30MIN_RAW,COND_40
COSMOS-ALIC1-PROFILE_VWC65_30MIN_RAW,PROFILE_VWC65_30MIN_RAW,VWC_SOIL_65
COSMOS-ALIC1-PROFILE_SOILEC65_30MIN_RAW,PROFILE_SOILEC65_30MIN_RAW,COND_65
COSMOS-ALIC1-STP_TSOIL50_30MIN_RAW,STP_TSOIL50_30MIN_RAW,TEMP_SOIL_50
COSMOS-ALIC1-STP_TSOIL20_30MIN_RAW,STP_TSOIL20_30MIN_RAW,TEMP_SOIL_20
COSMOS-ALIC1-STP_TSOIL10_30MIN_RAW,STP_TSOIL10_30MIN_RAW,TEMP_SOIL_10
COSMOS-ALIC1-STP_TSOIL5_30MIN_RAW,STP_TSOIL5_30MIN_RAW,TEMP_SOIL_5
COSMOS-ALIC1-STP_TSOIL2_30MIN_RAW,STP_TSOIL2_30MIN_RAW,TEMP_SOIL_2
COSMOS-ALIC1-G1_30MIN_RAW,G1_30MIN_RAW,HEATFLUX_SOIL
COSMOS-ALIC1-G1_STD_30MIN_RAW,G1_STD_30MIN_RAW,HEATFLUX_SOIL
COSMOS-ALIC1-G1_MV_30MIN_RAW,G1_MV_30MIN_RAW,HEATFLUX_SOIL
COSMOS-ALIC1-G1_CAL_30MIN_RAW,G1_CAL_30MIN_RAW,HEATFLUX_SOIL
COSMOS-ALIC1-G2_30MIN_RAW,G2_30MIN_RAW,HEATFLUX_SOIL
COSMOS-ALIC1-G2_STD_30MIN_RAW,G2_STD_30MIN_RAW,HEATFLUX_SOIL
COSMOS-ALIC1-G2_MV_30MIN_RAW,G2_MV_30MIN_RAW,HEATFLUX_SOIL
COSMOS-ALIC1-G2_CAL_30MIN_RAW,G2_CAL_30MIN_RAW,HEATFLUX_SOIL
COSMOS-ALIC1-BATTV_30MIN_RAW,BATTV_30MIN_RAW,VOLTAGE
COSMOS-ALIC1-SCANS_30MIN_RAW,SCANS_30MIN_RAW,SCANS_METPAK
COSMOS-ALIC1-CTS_MOD_DIAG_1_30MIN_RAW,CTS_MOD_DIAG_1_30MIN_RAW,DIAG_CRNS
COSMOS-ALIC1-CTS_MOD_DIAG_2_30MIN_RAW,CTS_MOD_DIAG_2_30MIN_RAW,DIAG_CRNS
COSMOS-ALIC1-CTS_MOD_DIAG_3_30MIN_RAW,CTS_MOD_DIAG_3_30MIN_RAW,DIAG_CRNS
COSMOS-ALIC1-CTS_MOD_DIAG_4_30MIN_RAW,CTS_MOD_DIAG_4_30MIN_RAW,DIAG_CRNS
COSMOS-ALIC1-CTS_MOD_DIAG_5_30MIN_RAW,CTS_MOD_DIAG_5_30MIN_RAW,DIAG_CRNS
COSMOS-ALIC1-UX_30MIN_RAW,UX_30MIN_RAW,WS
COSMOS-ALIC1-UZ_30MIN_RAW,UZ_30MIN_RAW,WS
COSMOS-ALIC1-UY_30MIN_RAW,UY_30MIN_RAW,WS
COSMOS-ALIC1-STDEV_UX_30MIN_RAW,STDEV_UX_30MIN_RAW,WS
COSMOS-ALIC1-STDEV_UY_30MIN_RAW,STDEV_UY_30MIN_RAW,WS
COSMOS-ALIC1-STDEV_UZ_30MIN_RAW,STDEV_UZ_30MIN_RAW,WS
COSMOS-ALIC1-COV_UX_UY_30MIN_RAW,COV_UX_UY_30MIN_RAW,WS
COSMOS-ALIC1-COV_UX_UZ_30MIN_RAW,COV_UX_UZ_30MIN_RAW,WS
COSMOS-ALIC1-COV_UY_UZ_30MIN_RAW,COV_UY_UZ_30MIN_RAW,WS
COSMOS-ALIC1-SNOWD_DISTANCE_COR_30MIN_RAW,SNOWD_DISTANCE_COR_30MIN_RAW,SNOWD_DISTANCE_COR
COSMOS-ALIC1-WS_RES_30MIN_RAW,WS_RES_30MIN_RAW,WS
COSMOS-ALIC1-HS_30MIN_RAW,HS_30MIN_RAW,HEATFLUX_SENSIBLE
COSMOS-ALIC1-TAU_30MIN_RAW,TAU_30MIN_RAW,FLUX_MOM
COSMOS-ALIC1-U_STAR_30MIN_RAW,U_STAR_30MIN_RAW,FRICTIONV
COSMOS-ALIC1-TS_30MIN_RAW,TS_30MIN_RAW,TEMP_SONIC
COSMOS-ALIC1-STDEV_TS_30MIN_RAW,STDEV_TS_30MIN_RAW,TEMP_SONIC
COSMOS-ALIC1-COV_TS_UX_30MIN_RAW,COV_TS_UX_30MIN_RAW,WS
COSMOS-ALIC1-COV_TS_UY_30MIN_RAW,COV_TS_UY_30MIN_RAW,WS
COSMOS-ALIC1-TNR01C_30MIN_PROCESSED,TNR01C_30MIN_PROCESSED,TEMP_RADIOMETER
COSMOS-ALIC1-TS_30MIN_PROCESSED,TS_30MIN_PROCESSED,TEMP_SONIC
COSMOS-ALIC1-U_STAR_30MIN_PROCESSED,U_STAR_30MIN_PROCESSED,FRICTIONV
COSMOS-ALIC1-UX_30MIN_PROCESSED,UX_30MIN_PROCESSED,WS
COSMOS-ALIC1-UZ_30MIN_PROCESSED,UZ_30MIN_PROCESSED,WS
COSMOS-ALIC1-UY_30MIN_PROCESSED,UY_30MIN_PROCESSED,WS
COSMOS-ALIC1-WD_30MIN_PROCESSED,WD_30MIN_PROCESSED,WD
COSMOS-ALIC1-WS_30MIN_PROCESSED,WS_30MIN_PROCESSED,WS
COSMOS-ALIC1-WS_RES_30MIN_PROCESSED,WS_RES_30MIN_PROCESSED,WS
COSMOS-ALIC1-ALBEDO_30MIN_PROCESSED,ALBEDO_30MIN_PROCESSED,ALBEDO
COSMOS-ALIC1-COV_TS_UX_30MIN_PROCESSED,COV_TS_UX_30MIN_PROCESSED,WS
COSMOS-ALIC1-COV_TS_UY_30MIN_PROCESSED,COV_TS_UY_30MIN_PROCESSED,WS
COSMOS-ALIC1-COV_TS_UZ_30MIN_PROCESSED,COV_TS_UZ_30MIN_PROCESSED,WS
COSMOS-ALIC1-COV_UX_UY_30MIN_PROCESSED,COV_UX_UY_30MIN_PROCESSED,WS
COSMOS-ALIC1-COV_UX_UZ_30MIN_PROCESSED,COV_UX_UZ_30MIN_PROCESSED,WS
COSMOS-ALIC1-COV_UY_UZ_30MIN_PROCESSED,COV_UY_UZ_30MIN_PROCESSED,WS
COSMOS-ALIC1-CTS_BARE_30MIN_PROCESSED,CTS_BARE_30MIN_PROCESSED,CTS
COSMOS-ALIC1-CTS_MOD_30MIN_PROCESSED,CTS_MOD_30MIN_PROCESSED,CTS
COSMOS-ALIC1-CTS_MOD_RH_30MIN_PROCESSED,CTS_MOD_RH_30MIN_PROCESSED,RH
COSMOS-ALIC1-CTS_MOD_TEMP_30MIN_PROCESSED,CTS_MOD_TEMP_30MIN_PROCESSED,TEMP_CRNS
COSMOS-ALIC1-CTS_MOD_PERIOD_30MIN_PROCESSED,CTS_MOD_PERIOD_30MIN_PROCESSED,MEASURE_PERIOD
