INSTRUMENT_ID,SENSOR_MAKE,SENSOR_MODEL,MANUAL,VARIABLE_NAME,COMMENT
RAIN_GAUGE,EML,SBS500,Make+model manual,P_BUCKET_RT,
RAIN_GAUGE,EML,SBS500,Make+model manual,P_HEATING_STATUS,
RAIN_GAUGE,EML,SBS500,Make+model manual,P_INTENSITY_RT,
RAIN_GAUGE,EML,SBS500,Make+model manual,P_LOADCELL_TEMP,
RAIN_GAUGE,EML,SBS500,Make+model manual,P_STATUS,
RAIN_GAUGE,EML,SBS500,Make+model manual,PRECIP,
RAIN_GAUGE,EML,SBS500,Make+model manual,PRECIP_DIAG,
RAIN_GAUGE,EML,SBS500,Make+model manual,PRECIP_TIPPING,
RAIN_GAUGE,EML,SBS500,Make+model manual,PRECIP_TIPPING2,
SHF,Hukseflux,HFP01SC,Make+model manual,G1,soil heat flux
SHF,Hukseflux,HFP01SC,Make+model manual,G1_CAL,
SHF,Hukseflux,HFP01SC,Make+model manual,G1_MV,
SHF,Hukseflux,HFP01SC,Make+model manual,G1_STD,
SHF,Hukseflux,HFP01SC,Make+model manual,G2,
SHF,Hukseflux,HFP01SC,Make+model manual,G2_CAL,
SHF,Hukseflux,HFP01SC,Make+model manual,G2_MV,
SHF,Hukseflux,HFP01SC,Make+model manual,G2_STD,
SNOW_DEPTH,Campbell Scientific,SR50A,Make+model manual,SNOWD,
SNOW_DEPTH,Campbell Scientific,SR50A,Make+model manual,SNOWD_DISTANCE_COR,
SNOW_DEPTH,Campbell Scientific,SR50A,Make+model manual,SNOWD_DISTANCE_UNC,
SNOW_DEPTH,Campbell Scientific,SR50A,Make+model manual,SNOWD_SIGNALQUALITY,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT1_SOILEC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT1_SOILPERM,soil permittivity
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT1_TSOIL,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT1_VWC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT10_SOILEC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT10_SOILPERM,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT10_TSOIL,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT10_VWC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT2_SOILEC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT2_SOILPERM,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT2_TSOIL,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT2_VWC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT3_SOILEC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT3_SOILPERM,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT3_TSOIL,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT3_VWC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT4_SOILEC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT4_SOILPERM,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT4_TSOIL,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT4_VWC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT5_SOILEC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT5_SOILPERM,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT5_TSOIL,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT5_VWC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT6_SOILEC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT6_SOILPERM,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT6_TSOIL,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT6_VWC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT7_SOILEC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT7_SOILPERM,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT7_TSOIL,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT7_VWC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT8_SOILEC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT8_SOILPERM,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT8_TSOIL,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT8_VWC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT9_SOILEC,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT9_SOILPERM,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT9_TSOIL,
SOIL_PROFILE,Acclima,TDT ACC-SEN-SDI,Make+model manual,TDT9_VWC,
SOIL_PROFILE,Campbell Scientific,SoilVUE 10,Make+model manual,PROFILE_SOILEC10,
SOIL_PROFILE,Campbell Scientific,SoilVUE 10,Make+model manual,PROFILE_SOILEC20,
SOIL_PROFILE,Campbell Scientific,SoilVUE 10,Make+model manual,PROFILE_SOILEC5,soil EC
SOIL_PROFILE,Campbell Scientific,SoilVUE 10,Make+model manual,PROFILE_VWC10,
SOIL_PROFILE,Campbell Scientific,SoilVUE 10,Make+model manual,PROFILE_VWC20,
SOIL_PROFILE,Campbell Scientific,SoilVUE 10,Make+model manual,PROFILE_VWC5,soil moisture
SOIL_PROFILE,Hukseflux,STP01,Make+model manual,STP_TSOIL10,soil temperature
SOIL_PROFILE,Hukseflux,STP01,Make+model manual,STP_TSOIL2,
SOIL_PROFILE,Hukseflux,STP01,Make+model manual,STP_TSOIL20,
SOIL_PROFILE,Hukseflux,STP01,Make+model manual,STP_TSOIL5,
SOIL_PROFILE,Hukseflux,STP01,Make+model manual,STP_TSOIL50,
TA_RH,Vaisala,HMP155A,Make+model manual,Q,temperature and humidity sensor
TA_RH,Vaisala,HMP155A,Make+model manual,Q_STD,
TA_RH,Vaisala,HMP155A,Make+model manual,RH,
TA_RH,Vaisala,HMP155A,Make+model manual,RH_STD,
TA_RH,Vaisala,HMP155A,Make+model manual,TA,
TA_RH,Vaisala,HMP155A,Make+model manual,TA_STD,
