TIMESERIES_ID,PRIORITY,START_DATETIME,END_DATETIME,METHOD,WINDOW,MAX_GAP_SIZE
COSMOS-BALRD-LWOUT_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-TNR01C_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-PROFILE_VWC15_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-PROFILE_SOILEC15_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-PROFILE_VWC40_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-PROFILE_SOILEC40_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-PROFILE_VWC65_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-PROFILE_SOILEC65_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-STP_TSOIL50_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-STP_TSOIL20_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-STP_TSOIL10_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-STP_TSOIL5_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-STP_TSOIL2_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-G1_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-G2_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-HS_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-TAU_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-U_STAR_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-TS_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BALRD-COSMOS_VWC_1DAY_PROCESSED,1,2013-01-01T00:30:00,,linear_linear,1,8
COSMOS-BALRD-COSMOS_VWC_NO_SNOW_1DAY_PROCESSED,1,2013-01-01T00:30:00,,linear_linear,1,8
COSMOS-BICKL-RHO_A_MEAN_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-E_SAT_MEAN_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-TDT1_VWC_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-TDT1_TSOIL_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-TDT1_SOILPERM_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-TDT1_SOILEC_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-TDT2_VWC_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-TDT2_TSOIL_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-TDT2_SOILPERM_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-TDT2_SOILEC_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-WD_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,4
COSMOS-BICKL-WS_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-PA_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,10
COSMOS-BICKL-RH_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-TA_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,10
COSMOS-BICKL-SWIN_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-SWOUT_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-LWIN_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-LWOUT_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-TNR01C_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-PROFILE_VWC15_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-PROFILE_SOILEC15_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-PROFILE_VWC40_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-PROFILE_SOILEC40_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-PROFILE_VWC65_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-PROFILE_SOILEC65_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-STP_TSOIL50_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-STP_TSOIL20_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-STP_TSOIL10_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-STP_TSOIL5_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-STP_TSOIL2_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-G1_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-G2_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-HS_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-TAU_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-U_STAR_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-TS_30MIN_RAW,1,2013-01-01T00:30:00,,linear_linear,1,6
COSMOS-BICKL-COSMOS_VWC_1DAY_PROCESSED,1,2013-01-01T00:30:00,,linear_linear,1,8
COSMOS-BICKL-COSMOS_VWC_NO_SNOW_1DAY_PROCESSED,1,2013-01-01T00:30:00,,linear_linear,1,8
