INSTRUMENT_ID,INSTRUMENT_NAME,INSTRUMENT_COMMENT,MANUAL,MODEL,DATA
PROFILE3,Soil moisture profile sensor 3,,P:\NEC04961_COSMOSUK\Technical Documentation\Manuals\IMKO,IMKO Digital TDT Soil moisture sensor,Y
COSMOS_MOD,Cosmic-ray soil moisure sensor (Moderated),,P:\NEC04961_COSMOSUK\Technical Documentation\Manuals\HydroInnova,Hydroinnova CRS-2000 or CRS1000/B (Moderated),Y
COSMOS_MOD2,Cosmic-ray soil moisure sensor 2 (Moderated),,P:\NEC04961_COSMOSUK\Technical Documentation\Manuals\HydroInnova,Hydroinnova CRS-2000 or CRS1000/B (Moderated),Y
COSMOS_BARE,Cosmic-ray soil moisure sensor (Bare),,P:\NEC04961_COSMOSUK\Technical Documentation\Manuals\HydroInnova,Hydroinnova CRS-2000 or CRS1000/B (Bare),Y
GPRS,GPRS,,,,N
SNOW_DEPTH,Snow depth sensor,,P:\NEC04961_COSMOSUK\Technical Documentation\Manuals\SR50A,Campbell SR05A,Y
COSMOS_SNOW,Snowfox COSMOS tube,,P:\NEC04961_COSMOSUK\Technical Documentation\Manuals\HydroInnova,Hydroinnova Snowfox,Y
TEMP,Air temperature,,,,Y
MODEM_BGAN,BGAN modem,,,,N
TDT3,TDT sensor 3,,P:\NEC04961_COSMOSUK\Technical Documentation\Manuals\Acclima,Acclima Digital TDT Soil moisture sensor,Y
TDT4,TDT sensor 4,,P:\NEC04961_COSMOSUK\Technical Documentation\Manuals\Acclima,Acclima Digital TDT Soil moisture sensor,Y
TDT5,TDT sensor 5,,P:\NEC04961_COSMOSUK\Technical Documentation\Manuals\Acclima,Acclima Digital TDT Soil moisture sensor,Y
TDT6,TDT sensor 6,,P:\NEC04961_COSMOSUK\Technical Documentation\Manuals\Acclima,Acclima Digital TDT Soil moisture sensor,Y
TDT7,TDT sensor 7,,P:\NEC04961_COSMOSUK\Technical Documentation\Manuals\Acclima,Acclima Digital TDT Soil moisture sensor,Y
TDT8,TDT sensor 8,,P:\NEC04961_COSMOSUK\Technical Documentation\Manuals\Acclima,Acclima Digital TDT Soil moisture sensor,Y
TDT9,TDT sensor 9,,P:\NEC04961_COSMOSUK\Technical Documentation\Manuals\Acclima,Acclima Digital TDT Soil moisture sensor,Y
TDT10,TDT sensor 10,,P:\NEC04961_COSMOSUK\Technical Documentation\Manuals\Acclima,Acclima Digital TDT Soil moisture sensor,Y
PA,Barometric Pressure Sensor,First installed in Phase 3,P:\NEC04961_COSMOSUK\Technical Documentation\Manuals\Campbell\,CS106 Pressure sensor,Y
RH,Relative humidity sensor,,,Vaisala HUMICAP Humidity and temperature probe HMP155,Y
MODEM,Modem,,,COM1-10(A),N
AWS_SDM,SDMSI01(A),Component of Phase 3 logger comms,,SDMSI01,N
LOGGER,DataLogger,,,CR3000,Y
BATTERY,Battery,,,,N
DERIVED,Derived data,,,,Y
MODEM_LX60,Sierra Wireless LX60 Modem,Replacement for MODEM_PRO (ProRoute Modem),P:\NEC04961_COSMOSUK\Instrumentation\Sierra_Wireless\Manuals\Airlink-LX60-User-Guide.pdf,Sierra Wireless LX60 Modem,N
ETHERNET_115,Ethernet interface,,,NL115,N
ETHERNET_116,Ethernet interface,,,NL116,N
HYGROCLIP,Hygroclip (relative humidity component of MetPak),,,Rotronic hygroclip HC2-S(3),N
RG_R,Tipping weighing raingauge,Lambrecht Rain[e] initially deployed in addition to OTT Pluvio2,P:\NEC04961_COSMOSUK\Instrumentation\Lambrecht,Lambrecht Rain[e],
HYGROCLIP_A,Hygroclip (relative humidity component of MetPak). Improved model.,New model of hygroclip deployed on advice from Rotronic due to poor performance of previous model.,,Rotronic hygroclip HC2A-S(3),
