SITE_ID,START_DATETIME,END_DATETIME,REF_SOIL_MOISTURE,REF_BULKDENSITY,REF_LATTICEWATER,REF_Q0,REF_C0,REF_CTS_MOD_CORR,REF_CTS_MOD2_CORR,REF_CTS_BARE_CORR,REF_CTS_SNOW_CORR,N0_MOD,N0_MOD2,N0_BARE,N0_SNOW,COSMOS_FACTOR_PROBE_MOD,COSMOS_FACTOR_PROBE_MOD2,COSMOS_FACTOR_PROBE_BARE,COSMOS_FACTOR_PROBE_SNOW,THETA_MIN,THETA_MAX,THETA_MIN_DATE,THETA_MAX_DATE,REF_SOC,CALIBRATION_COMMENT,PROBE_EFFDEPTH,N_MIN,METHOD,SOIL_COMMENT,N_MAX,L,ACTIVE,REF_BULKDENSITY_STD,REF_LATTICEWATER_STD,REF_SOC_STD
TADHM,2014-11-06 00:00:00,2014-11-07 00:00:00,0.615,0.32,0.029,8.1,148.385,1131.026,,,,2786.112,,,,1,1,1,1,,,,,0.314,,probe effective depth varies from 55.5 (1 m radius) to 42.5 cm (200 m radius) on calibration day),1099.263,3,"Extremely organic soil with little mineral material, i.e. very high soil organic carbon and extremely low bulk density",1527.957,130.0,0,0.093,0.0033,0.059
TADHM,2014-11-06 00:00:00,2014-11-07 00:00:00,0.615,0.32,0.029,8.1,148.385,1129.862,,,,2783.245,,,,1,1,1,1,,,,,0.314,,probe effective depth varies from 55.5 (1 m radius) to 42.5 cm (200 m radius) on calibration day),1098.132,3,"Extremely organic soil with little mineral material, i.e. very high soil organic carbon and extremely low bulk density",1526.385,137.402,0,0.093,0.0033,0.059
WADDN,2014-03-13 00:00:00,2014-03-15 00:00:00,0.479,0.98,0.021,6.575,154.491,819.051,,,,1655.813,,,,1,1,1,1,37.555,65.699,2014-05-20 12:00:00,2014-03-03 12:00:00,0.034,,,728.352,1,Typical mineral soil,,,1,,,
WADDN,2014-03-13 00:00:00,2014-03-15 00:00:00,0.46,1.11,0.021,6.575,154.491,819.051,,,,1605.17,,,,1,1,1,1,,,,,0.034,,,718.234,2,Typical mineral soil,1360.051,,0,,,
WADDN,2014-03-13 00:00:00,2014-03-15 00:00:00,0.46,1.11,0.021,6.575,154.491,819.071,,,,1605.209,,,,1,1,1,1,,,,,0.034,,,718.252,3,Typical mineral soil,1360.084,130.0,0,0.16,0.0021,0.0023
WADDN,2014-03-13 00:00:00,2014-03-15 00:00:00,0.46,1.11,0.021,6.575,154.491,813.369,,,,1594.035,,,,1,1,1,1,,,,,0.034,,,713.252,3,Typical mineral soil,1350.617,136.997,0,0.16,0.0021,0.0023
WIMPL,2019-10-15 00:00:00,2019-10-16 00:00:00,0.361,1.22,0.015,8.959,164.632,1581.655,,,,2889.878,,,,1,1,1,1,,,,,0.035,radial and vertical weighted mean from 0-25 cm data,19.6 (1 m radius) to 14.0 cm (200 m radius),1312.172,2,Typical mineral soil,2490.199,,0,,,
WIMPL,2019-10-15 00:00:00,2019-10-16 00:00:00,0.361,1.22,0.015,8.959,164.632,1581.635,,,,2889.842,,,,1,1,1,1,,,,,0.035,radial and vertical weighted mean from 0-25 cm data,19.6 (1 m radius) to 14.0 cm (200 m radius),1312.15522,3,Typical mineral soil,2490.16809,130.0,0,0.16,0.0039,0.0021
WIMPL,2019-10-15 00:00:00,2019-10-16 00:00:00,0.361,1.22,0.015,8.959,164.632,1581.417,,,,2889.443,,,,1,1,1,1,,,,,0.035,radial and vertical weighted mean from 0-25 cm data,19.6 (1 m radius) to 14.0 cm (200 m radius),1311.974,3,Typical mineral soil,2489.824,137.179,0,0.16,0.0039,0.0021
WRTTL,2017-07-27 00:00:00,2017-07-28 00:00:00,0.35,1.26,0.019,10.595,161.258,1647.568,,,,2980.133,,,,1,1,1,1,,,,,0.035,radial and vertical weighted mean from 0-25 cm data,20.3 (1 m radius) to 14.3 cm (200 m radius),1358.747,2,Typical mineral soil,2533.43,,0,,,
WRTTL,2017-07-27 00:00:00,2017-07-28 00:00:00,0.35,1.26,0.019,10.595,161.258,1647.6,,,,2980.191,,,,1,1,1,1,,,,,0.035,radial and vertical weighted mean from 0-25 cm data,20.3 (1 m radius) to 14.3 cm (200 m radius),1358.773,3,Typical mineral soil,2533.48,130.0,0,0.23,0.0013,0.0033
WRTTL,2017-07-27 00:00:00,2017-07-28 00:00:00,0.35,1.26,0.019,10.595,161.282,1646.412,,,,2978.042,,,,1,1,1,1,,,,,0.035,radial and vertical weighted mean from 0-25 cm data,20.3 (1 m radius) to 14.3 cm (200 m radius),1357.793,3,Typical mineral soil,2531.653,137.226,0,0.23,0.0013,0.0033
WYTH1,2014-04-15 00:00:00,2014-04-16 00:00:00,0.492,0.95,0.017,5.189,155.58,681.613,,,,1387.67,,,,1,1,1,1,46.663,68.118,2013-12-11 12:00:00,2014-03-02 12:00:00,0.028,,,608.676,1,Typical mineral soil,,,1,,,
WYTH1,2014-04-15 00:00:00,2014-04-16 00:00:00,0.485,0.96,0.017,5.189,155.58038,681.613,,,,1374.36716,,,,1,1,1,1,,,,,0.028,,,603.67696,2,Typical mineral soil,1205.32,136.801,1,,,
WYTH1,2014-04-15 00:00:00,2014-04-16 00:00:00,0.485,1.05,0.017,5.189,155.58,681.614,,,,1358.004,,,,1,1,1,1,,,,,0.028,,,603.819,3,Typical mineral soil,1190.97,130.0,0,0.19,0.0047,0.0044
WYTH1,2014-04-15 00:00:00,2014-04-16 00:00:00,0.485,1.05,0.017,5.189,155.58,678.203,,,,1351.208,,,,1,1,1,1,,,,,0.028,,,600.797,3,Typical mineral soil,1185.01,136.801,0,0.19,0.0047,0.0044
ALIC1,2015-08-04 00:00:00,2015-08-05 00:00:00,0.266,0.84,0.025,9.484,156.89971,1224.272,,,,2292.04124,,,,1,1,1,1,,,,,0.042,,probe effective depth varies from 33.3 (1 m radius) to 23.1 cm (200 m radius) on calibration day),987.57569,2,Typical mineral soil; lower bulk density may be due to higher clay and/or organic content or macropores from tree roots,1870.2049,136.979,1,,,
BALRD,2014-07-29 00:00:00,2014-07-30 00:00:00,0.254,1.34,0.018,10.212,155.862,1808.862,,,,2985.765,,,,1,1,1,1,,,,,0.023,,probe effective depth varies from 21.0 (1 m radius) to 14.5 cm (200 m radius) on calibration day),1378.086,2,Typical mineral soil,2657.178,,0,,,
BICKL,2015-02-24 00:00:00,2015-02-25 00:00:00,0.412,1.31,0.01,5.154,152.092,1534.039,,,,2800.149,,,,1,1,1,1,,,,,0.02,,probe effective depth varies from 18.4 (1 m radius) to 13.1 cm (200 m radius) on calibration day),1290.733,2,Typical mineral soil,2602.014,,0,,,
BUNNY,2015-02-25 00:00:00,2015-02-26 00:00:00,0.283,1.55,0.008,6.514,152.375,1806.99,,,,2899.261,,,,1,1,1,1,,,,,0.016,,probe effective depth varies from 18.3 (1 m radius) to 12.6 cm (200 m radius) on calibration day),1377.265,2,Typical mineral soil with high bulk density,2763.851,,0,,,
CARDT,2015-08-18 00:00:00,2015-08-19 00:00:00,0.141,1.14,0.016,8.94,154.598,1800.597,,,,2786.474,,,,1,1,1,1,,,,,0.04,,probe effective depth varies from 31.3 (1 m radius) to 20.8 cm (200 m radius) on calibration day),1251.364,2,Typical mineral soil,2353.218,,0,,,
CGARW,2018-09-28 00:00:00,2018-09-29 00:00:00,0.417,0.96,0.022,7.246,166.095,1535.911,,,,3056.819,,,,1,1,1,1,,,,,0.048,radial and vertical weighted mean from 0-25 cm data,23.4 (1 m radius) to 17.0 cm (200 m radius),1338.488,2,Typical mineral soil,2472.223,,0,,,
CHIMN,2013-11-13 00:00:00,2013-11-15 00:00:00,0.393,1.36,0.011,6.004,155.716,895.716,,,,1614.433,,,,1,1,1,1,,,,,0.027,,,747.419,2,Calcareous mineral soil (around 20% calcium carbonate),1453.159,,0,,,
CHOBH,2015-03-12 00:00:00,2015-03-13 00:00:00,0.566,0.73,0.003,5.04,150.10542,1253.201,,,,2706.2747,,,,1,1,1,1,,,,,0.031,,probe effective depth varies from 23.5 (1 m radius) to 17.3 cm (200 m radius) on calibration day),1150.70174,2,"Highly variable soil, with a mix of organic soil/material of variable thickness overlying mineral soil; low lattice and bound water",2474.29791,137.233,1,,,
COCHN,2017-10-18 00:00:00,2017-10-19 00:00:00,0.524,0.76,0.019,8.13,163.94808,1438.663,,,,3119.0361,,,,1,1,1,1,,,,,0.068,radial and vertical weighted mean from 0-25 cm data,24.5 (1 m radius) to 18.2 cm (200 m radius),1326.3243,2,Mineral soil with high soil organic carbon,2407.89587,136.674,1,,,
COCLP,2014-12-10 00:00:00,2014-12-11 00:00:00,0.447,1.18,0.02,4.96,148.80029,1476.164,,,,2850.53327,,,,1,1,1,1,,,,,0.033,,probe effective depth varies from 17.9 (1 m radius) to 13.1 cm (200 m radius) on calibration day),1287.21541,2,Typical mineral soil,2431.36914,137.028,1,,,
