SITE_ID,START_DATETIME,END_DATETIME,REF_SOIL_MOISTURE,REF_BULKDENSITY,REF_LATTICEWATER,REF_Q0,REF_C0,REF_CTS_MOD_CORR,REF_CTS_MOD2_CORR,REF_CTS_BARE_CORR,REF_CTS_SNOW_CORR,N0_MOD,N0_MOD2,N0_BARE,N0_SNOW,COSMOS_FACTOR_PROBE_MOD,COSMOS_FACTOR_PROBE_MOD2,COSMOS_FACTOR_PROBE_BARE,COSMOS_FACTOR_PROBE_SNOW,THETA_MIN,THETA_MAX,THETA_MIN_DATE,THETA_MAX_DATE,REF_SOC,CALIBRATION_COMMENT,PROBE_EFFDEPTH,N_MIN,METHOD,SOIL_COMMENT,N_MAX,L,ACTIVE,REF_BULKDENSITY_STD,REF_LATTICEWATER_STD,REF_SOC_STD
COCLP,2014-12-10 00:00:00,2014-12-11 00:00:00,0.447,1.18,0.02,4.96,148.80029,1481.608,,,,2850.53341,,,,1,1,1,1,,,,,0.033,,probe effective depth varies from 17.9 (1 m radius) to 13.1 cm (200 m radius) on calibration day),1287.215,3,Typical mineral soil,2431.369,137.028,0,0.084,0.0015,0.0018
CRICH,2014-12-08 00:00:00,2014-12-09 00:00:00,0.428,1.1,0.011,4.923,147.88396,1456.069,,,,2820.40508,,,,1,1,1,1,,,,,0.045,,probe effective depth varies from 19.9 (1 m radius) to 14.4 cm (200 m radius) on calibration day),1260.181,3,Typical mineral soil,2381.873,137.198,0,0.15,0.0012,0.0068
EASTB,2014-09-16 00:00:00,2014-09-17 00:00:00,0.303,1.07,0.019,10.941,153.00708,1522.377,,,,2760.50573,,,,1,1,1,1,,,,,0.033,,probe effective depth varies from 24.4 (1 m radius) to 17.1 cm (200 m radius) on calibration day),1229.389,3,Typical mineral soil,2362.53,136.585,0,0.19,0.0015,0.0035
ELMST,2017-01-19 00:00:00,2017-01-20 00:00:00,0.4,1.2,0.015,4.363,164.08954,1763.552,,,,3275.03381,,,,1,1,1,1,,,,,0.022,radial and vertical weighted mean from 0-25 cm data,19.9 (1 m radius) to 14.1 cm (200 m radius) ,1486.874,3,Calcareous mineral soil (around 5% calcium carbote),2959.252,137.08,0,0.18,0.00096,0.0041
EUSTN,2017-01-18 00:00:00,2017-01-19 00:00:00,0.189,1.18,0.003,3.748,164.10154,2011.739,,,,3167.85901,,,,1,1,1,1,,,,,0.029,,varies from 26.9 (1 m radius) to 18.0 cm (200 m radius) on calibration day,1435.833,3,Typical mineral soil; low lattice and bound water,2919.689,137.35,0,0.2,0.00026,0.0023
FINCH,2017-07-28 00:00:00,2017-07-29 00:00:00,0.279,1.26,0.007,10.482,161.42958,1800.049,,,,3028.71838,,,,1,1,1,1,,,,,0.02,radial and vertical weighted mean from 0-25 cm data,21.3 (1 m radius) to 14.7 cm (200 m radius),1388.234,3,Calcareous mineral soil,2850.067,137.314,0,0.13,0.00055,0.0011
FIVET,2018-11-15 00:00:00,2018-11-16 00:00:00,0.537,0.86,0.014,8.67,164.73004,1448.86,,,,3056.88394,,,,1,1,1,1,,,,,0.039,radial and vertical weighted mean from 0-25 cm data,21.7 (1 m radius) to 16.0 cm (200 m radius),1322.762,3,Typical mineral soil,2607.376,136.589,0,0.24,0.0019,0.0095
GISBN,2014-09-17 00:00:00,2014-09-18 00:00:00,0.542,0.71,0.021,10.777,153.9125,1220.12,,,,2674.9187,,,,1,1,1,1,,,,,0.061,,probe effective depth varies from 25.1 (1 m radius) to 18.6 cm (200 m radius) on calibration day),1129.695,3,"Mineral soil with high soil organic carbon, most likely from decomposed forest litter",2092.194,136.21,0,0.29,0.0037,0.0035
GLENS,2014-07-28 00:00:00,2014-07-29 00:00:00,0.608,0.36,0.014,10.652,156.18125,1276.224,,,,3097.76289,,,,1,1,1,1,,,,,0.203,,,1232.856,3,"Extremely organic soil with little mineral material, i.e. very high soil organic carbon and extremely low bulk density",1906.281,135.739,0,0.33,0.0034,0.059
GLENW,2016-10-20 00:00:00,2016-10-21 00:00:00,0.631,0.58,0.024,7.056,162.96017,1388.277,,,,3224.39867,,,,1,1,1,1,,,,,0.153,radial and vertical weighted mean from 0-25 cm data,32.9cm (1m radius) to 25.2cm (200m radius),1328.699,3,"Organic soil, i.e. very high soil organic carbon and low bulk density",2091.707,136.22,0,0.24,0.0019,0.011
HADLW,2016-12-15 00:00:00,2016-12-16 00:00:00,0.398,1.1,0.028,7.268,164.27725,1562.285,,,,2988.31905,,,,1,1,1,1,,,,,0.031,,varies from 18.6 (1 m radius) to 13.4 cm (200 m radius) on calibration day,1334.587,3,Typical mineral soil,2499.334,137.305,0,0.15,0.0019,0.0014
HARTW,2014-07-30 00:00:00,2014-07-31 00:00:00,0.356,1.02,0.033,10.363,156.615,1593.072,,,,3054.0604,,,,1,1,1,1,,,,,0.043,,probe effective depth varies from 22.4 (1 m radius) to 16.2 cm (200 m radius) on calibration day),1346.773,3,Typical mineral soil,2428.09,136.596,0,0.15,0.0066,0.0037
HARWD,2017-06-14 00:00:00,2017-06-15 00:00:00,0.591,0.35,0.009,10.294,165.47108,959.368,,,,2338.9236,,,,1,1,1,1,,,,,0.304,radial and vertical weighted mean from 0-25 cm data,57.6 (1 m radius) to 43.3 cm (200 m radius),927.607,3,Extremely organic forest soil with little mineral material ,1311.633,136.018,0,0.23,0.0034,0.1
HENFS,2016-10-06 00:00:00,2016-10-07 00:00:00,0.507,0.86,0.022,6.568,163.79688,1497.458,,,,3168.84925,,,,1,1,1,1,,,,,0.077,radial and vertical weighted mean from 0-25 cm data,22.0cm (1m radius) to 16.1cm (200m radius),1364.783,3,Mineral soil with very high organic matter,2375.275,136.104,0,0.26,0.001,0.0041
HILLB,2016-10-19 00:00:00,2016-10-20 00:00:00,0.45,1.11,0.021,7.537,162.36558,1564.355,,,,3064.37538,,,,1,1,1,1,,,,,0.042,radial and vertical weighted mean from 0-25 cm data,18.9cm (1m radius) to 13.8cm (200m radius),1369.442,3,Typical mineral soil,2530.967,136.756,0,0.18,0.0042,0.0052
HLACY,2018-05-03 00:00:00,2018-05-04 00:00:00,0.292,1.27,0.017,6.548,163.54492,1807.409,,,,3103.06256,,,,1,1,1,1,,,,,0.022,radial and vertical weighted mean from 0-25 cm data,22.5 (1 m radius) to 15.6 cm (200 m radius) ,1420.673,3,Typical mineral soil,2782.44,137.109,0,0.16,0.00084,0.0013
HOLLN,2014-06-25 00:00:00,2014-06-26 00:00:00,0.364,0.96,0.025,8.27,152.03496,1433.054,,,,2763.3219,,,,1,1,1,1,,,,,0.032,,,1211.924,3,Typical mineral soil,2326.074,137.029,0,0.18,0.0034,0.012
HYBRY,2018-02-22 00:00:00,2018-02-23 00:00:00,0.411,0.78,0.006,4.027,165.21488,1555.417,,,,3205.87297,,,,1,1,1,1,,,,,0.066,radial and vertical weighted mean from 0-25 cm data,27.4 (1 m radius) to 19.6 cm (200 m radius)?,1368.913,3,Highly calcareous mineral soil with high soil organic carbon,2577.796,136.723,0,0.27,0.0021,0.011
LIZRD,2014-11-04 00:00:00,2014-11-05 00:00:00,0.568,0.78,0.014,7.179,148.76079,1226.133,,,,2663.84841,,,,1,1,1,1,,,,,0.058,,probe effective depth varies from 21.1 (1 m radius) to 15.7 cm (200 m radius) on calibration day),1137.467,3,Mineral soil with high soil organic carbon; bulk density is notably lower towards the surface (0-10/15 cm),2141.962,137.099,0,0.3,0.0023,0.027
