"MASK_FILENAME","START_DATETIME","END_DATETIME"
"EASTB_LAND2_MASK_4096_1.dat",13-08-2014 11:30,18-10-2018 09:55
"EASTB_LAND2_MASK_4096_1.dat",08-10-2020 14:40,
"ELMST_LAND1_MASK_1600_1.dat",11-08-2016 15:30,20-09-2018 13:50
"ELMST_LAND1_MASK_1600_2.dat",21-09-2018 09:50,05-09-2019 13:55
"ELMST_LAND1_MASK_1600_3.dat",06-09-2019 07:00,
"ELMST_LAND1_MASK_2560_1.dat",11-08-2016 15:30,20-09-2018 13:50
"ELMST_LAND1_MASK_4096_1.dat",11-08-2016 15:30,20-09-2018 13:50
"ELMST_LAND1_MASK_4096_3.dat",06-09-2019 07:00,
"ELMST_LAND2_MASK_1600_1.dat",11-08-2016 15:30,20-09-2018 13:50
"ELMST_LAND2_MASK_1600_2.dat",21-09-2018 09:50,05-09-2019 13:55
"ELMST_LAND2_MASK_1600_3.dat",06-09-2019 07:00,
"ELMST_LAND2_MASK_2560_1.dat",11-08-2016 15:30,20-09-2018 13:50
"ELMST_LAND2_MASK_4096_1.dat",11-08-2016 15:30,20-09-2018 13:50
"ELMST_LAND2_MASK_4096_3.dat",06-09-2019 07:00,
"EUSTN_LAND1_MASK_1600_1.dat",31-03-2016 16:00,08-08-2016 13:50
"EUSTN_LAND1_MASK_1600_2.dat",30-03-2018 07:40,19-09-2018 13:55
"EUSTN_LAND1_MASK_1600_3.dat",16-01-2019 16:20,
"EUSTN_LAND1_MASK_2560_2.dat",30-03-2018 07:40,19-09-2018 13:55
"EUSTN_LAND1_MASK_2560_3.dat",16-01-2019 16:20,
"EUSTN_LAND1_MASK_4096_2.dat",30-03-2018 07:40,19-09-2018 13:55
"EUSTN_LAND1_MASK_5184_3.dat",16-01-2019 16:20,
"FINCH_LAND1_MASK_1600_1.dat",07-06-2017 11:30,30-07-2020 10:35
"FINCH_LAND1_MASK_1600_2.dat",30-07-2020 10:50,
"FINCH_LAND1_MASK_2560_1.dat",07-06-2017 11:30,30-07-2020 10:35
"FINCH_LAND1_MASK_2560_2.dat",30-07-2020 10:50,
"FINCH_LAND1_MASK_4096_1.dat",07-06-2017 11:30,30-07-2020 10:35
"FINCH_LAND1_MASK_4096_2.dat",30-07-2020 10:50,
"FINCH_LAND1_MASK_5184_1.dat",07-06-2017 11:30,30-07-2020 10:35
"FINCH_LAND1_MASK_5184_2.dat",30-07-2020 10:50,
"FIVET_LAND1_MASK_1600_1.dat",27-06-2018 07:45,19-08-2019 13:45
"FIVET_LAND1_MASK_1600_2.dat",20-08-2019 07:40,
"FIVET_LAND1_MASK_2560_1.dat",27-06-2018 07:45,19-08-2019 13:45
"FIVET_LAND1_MASK_2560_2.dat",20-08-2019 07:40,11-04-2023 00:00
"FIVET_LAND1_MASK_5184_2.dat",20-08-2019 07:40,11-04-2023 00:00
"GISBN_LAND1_MASK_1600_1.dat",15-08-2014 12:00,05-09-2018 10:50
"GISBN_LAND1_MASK_1600_1.dat",28-10-2018 11:45,16-12-2018 14:45
"GISBN_LAND1_MASK_1600_2.dat",19-12-2018 08:40,04-05-2022 23:00
"GISBN_LAND1_MASK_1600_3.dat",02-04-2023 00:00,
"GISBN_LAND1_MASK_2560_1.dat",15-08-2014 12:00,05-09-2018 10:50
"GISBN_LAND1_MASK_2560_1.dat",28-10-2018 11:45,16-12-2018 14:45
"GISBN_LAND1_MASK_2560_2.dat",19-12-2018 08:40,04-05-2022 23:00
"GISBN_LAND1_MASK_4096_1.dat",15-08-2014 12:00,05-09-2018 10:50
"GISBN_LAND1_MASK_4096_1.dat",28-10-2018 11:45,16-12-2018 14:45
"GISBN_LAND1_MASK_4096_2.dat",19-12-2018 08:40,04-05-2022 23:00
"GISBN_LAND1_MASK_4096_3.dat",05-05-2022 01:00,02-04-2023 00:00
