"MASK_FILENAME","START_DATETIME","END_DATETIME"
"RISEH_LAND1_MASK_1600_1.dat",04-05-2016 16:00,17-08-2018 09:55
"RISEH_LAND1_MASK_1600_2.dat",17-08-2018 11:45,26-06-2019 10:45
"RISEH_LAND1_MASK_1600_3.dat",26-06-2019 12:05,04-11-2020 08:50
"RISEH_LAND1_MASK_1600_4.dat",04-11-2020 14:40,14-04-2021 08:45
"RISEH_LAND1_MASK_2560_1.dat",04-05-2016 16:00,17-08-2018 09:55
"RISEH_LAND1_MASK_4096_1.dat",04-05-2016 16:00,17-08-2018 09:55
"RISEH_LAND1_MASK_4096_5.dat",14-04-2021 09:50,
"ROTHD_LAND1_MASK_1600_1.dat",25-07-2014 08:00,03-10-2018 07:50
"ROTHD_LAND1_MASK_1600_2.dat",03-10-2018 09:55,
"ROTHD_LAND1_MASK_2560_1.dat",25-07-2014 08:00,03-10-2018 07:50
"ROTHD_LAND1_MASK_2560_2.dat",03-10-2018 09:55,
"ROTHD_LAND1_MASK_4096_2.dat",03-10-2018 09:55,
"ROTHD_LAND2_MASK_1600_1.dat",25-07-2014 08:00,03-10-2018 07:50
"ROTHD_LAND2_MASK_1600_2.dat",03-10-2018 09:55,
"ROTHD_LAND2_MASK_2560_1.dat",25-07-2014 08:00,03-10-2018 07:50
"ROTHD_LAND2_MASK_2560_2.dat",03-10-2018 09:55,
"ROTHD_LAND2_MASK_4096_2.dat",03-10-2018 09:55,
"SHEEP_LAND1_MASK_1600_1.dat",24-10-2013 14:30,07-12-2016 10:50
"SHEEP_LAND1_MASK_1600_2.dat",07-12-2016 11:45,15-10-2017 13:55
"SHEEP_LAND1_MASK_1600_3.dat",16-10-2017 07:45,03-12-2018 11:55
"SHEEP_LAND1_MASK_1600_4.dat",03-12-2018 14:40,08-07-2021 15:15
"SHEEP_LAND1_MASK_2560_1.dat",24-10-2013 14:30,07-12-2016 10:50
"SHEEP_LAND1_MASK_4096_1.dat",24-10-2013 14:30,07-12-2016 10:50
"SHEEP_LAND1_MASK_5184_4.dat",03-12-2018 14:40,08-07-2021 15:15
"SHEEP_LAND1_MASK_5184_5.dat",09-07-2021 09:00,
"SHEEP_LAND1_MASK_800_1.dat",24-10-2013 14:30,07-12-2016 10:50
"SHEEP_LAND1_MASK_800_2.dat",07-12-2016 11:45,15-10-2017 13:55
