StartDate,EndDate,tblConfig_ConfigID,TypeOfAssetID,Firmware Version,Comms Type,SpecialSettings,Config File,ConfigProcedure,CommentID,ConfigDateID,AssetID,tblConfigDates_ConfigID,TypeID,Instrument_ID,Manufacturer,Model,Version,CalInterval,ServiceInterval,CalType,ServiceType,ImagePath,Attachments
11/04/2018,11/06/2019,132,150,CR3000.Std.31.03,Logger,,138,,0,973,874,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
23/04/2018,13/08/2019,101,153,1.50.0,SDI-12,,107,,0,635,1639,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
25/04/2018,,102,153,1.50.1,SDI-12,,108,,0,665,1108,102,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
27/06/2018,11/06/2019,101,153,1.50.0,SDI-12,,107,,0,634,1638,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
27/06/2018,12/08/2019,102,153,1.50.1,SDI-12,,108,,0,664,1636,102,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
27/06/2018,,132,150,CR3000.Std.31.03,Logger,,138,,0,993,889,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
28/06/2018,,101,153,1.50.0,SDI-12,,107,,0,630,1628,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
28/06/2018,,132,150,CR3000.Std.31.03,Logger,,138,,0,963,877,132,150,LOGGER,Campbell Scientific Ltd,CR3000,,1460,,Lab,,W:\Instrum\LSFM_DataBase\AssetType\IMG_0512.JPG,98
03/07/2018,27/08/2019,101,153,1.50.0,SDI-12,,107,,0,632,1633,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
04/07/2018,,101,153,1.50.0,SDI-12,,107,,0,639,1111,101,153,RG,OTT,Pluvio2,,365,365,Lab,Weighing,W:\Instrum\LSFM_DataBase\AssetType\IMG_0516.JPG,101
