SITE_ID,GAMMA,DATETIME_CALCULATED,METHOD,ACTIVE
BICKL,1.24174,2020-03-01 00:00:00,,0.0
BUNNY,1.22068,2020-03-01 00:00:00,,0.0
CARDT,1.2,2020-03-01 00:00:00,DEFAULT,0.0
CGARW,1.2,2020-03-01 00:00:00,DEFAULT,0.0
CHIMN,1.28258,2020-03-01 00:00:00,,0.0
CHOBH,1.27917,2020-03-01 00:00:00,,0.0
COCHN,1.2,2020-03-01 00:00:00,DEFAULT,0.0
COCLP,1.27511,2020-03-01 00:00:00,,0.0
CRICH,1.44293,2020-03-01 00:00:00,,0.0
EASTB,1.24053,2020-03-01 00:00:00,,0.0
ELMST,1.2,2020-03-01 00:00:00,DEFAULT,0.0
EUSTN,1.2,2020-03-01 00:00:00,DEFAULT,0.0
FINCH,1.2,2020-03-01 00:00:00,DEFAULT,0.0
FIVET,1.2,2020-03-01 00:00:00,DEFAULT,0.0
GISBN,1.26842,2020-03-01 00:00:00,,0.0
GLENS,1.51979,2020-03-01 00:00:00,,0.0
GLENW,1.2,2020-03-01 00:00:00,DEFAULT,0.0
HADLW,1.2,2020-03-01 00:00:00,DEFAULT,0.0
HARTW,1.16238,2020-03-01 00:00:00,,0.0
HARWD,1.12777,2020-03-01 00:00:00,,0.0
HENFS,1.2,2020-03-01 00:00:00,DEFAULT,0.0
HILLB,1.2,2020-03-01 00:00:00,DEFAULT,0.0
HLACY,1.2,2020-03-01 00:00:00,DEFAULT,0.0
HOLLN,1.17143,2020-03-01 00:00:00,,0.0
HYBRY,1.2,2020-03-01 00:00:00,DEFAULT,0.0
LIZRD,1.18317,2020-03-01 00:00:00,,0.0
LODTN,1.2,2020-03-01 00:00:00,DEFAULT,0.0
LULLN,1.3542,2020-03-01 00:00:00,,0.0
MOORH,1.42508,2020-03-01 00:00:00,,0.0
MOREM,1.2,2020-03-01 00:00:00,DEFAULT,0.0
MORLY,1.16221,2020-03-01 00:00:00,,0.0
NWYKE,1.10273,2020-03-01 00:00:00,,0.0
PLYNL,1.3785,2020-03-01 00:00:00,,0.0
PORTN,1.08567,2020-03-01 00:00:00,,0.0
RDMER,1.31995,2020-03-01 00:00:00,,0.0
REDHL,1.2,2020-03-01 00:00:00,DEFAULT,0.0
