TIMESERIES_DEF,TIMESERIES_NAME,PARAMETER_ID,PROCESS_LEVEL,RESOLUTION,PERIODICITY,UNIT_ID,STATISTIC_ID
CTS_MOD_DIAG_5_30MIN_RAW,COSMOS Moderated probe diagnostic 5,DIAG_CRNS,RAW,PT30M,PT30M,UNITLESS,INST
CTS_MOD_PERIOD_30MIN_RAW,Number of seconds CRNS tube took measurements,MEASURE_PERIOD,RAW,PT30M,PT30M,SEC,TOTAL_PREC
CTS_MOD_RH_30MIN_RAW,Relative humidity in COSMOS moderated tube,RH,RAW,PT30M,PT30M,PCT,INST
CTS_MOD_TEMP_30MIN_RAW,Temperature in COSMOS moderated tube,TEMP_CRNS,RAW,PT30M,PT30M,DEGC,INST
CTS_MOD2_30MIN_RAW,Moderated counts 2,CTS,RAW,PT30M,PT30M,CTS,TOTAL_PREC
CTS_MOD2_PERIOD_30MIN_RAW,Number of seconds CRNS tube 2 took measurements,MEASURE_PERIOD,RAW,PT30M,PT30M,SEC,TOTAL_PREC
CTS_MOD2_RH_30MIN_RAW,Relative humidity inside COSMOS moderated tube 2,RH,RAW,PT30M,PT30M,PCT,INST
CTS_MOD2_TEMP_30MIN_RAW,Temperature inside COSMOS moderated tube 2,TEMP_CRNS,RAW,PT30M,PT30M,DEGC,INST
CTS_SNOW_30MIN_RAW,Below ground counts,CTS,RAW,PT30M,PT30M,CTS,TOTAL_PREC
CTS_SNOW_DIAG_1_30MIN_RAW,COSMOS Snow probe diagnostic 1,DIAG_CRNS,RAW,PT30M,PT30M,UNITLESS,INST
CTS_SNOW_DIAG_2_30MIN_RAW,COSMOS Snow probe diagnostic 2,DIAG_CRNS,RAW,PT30M,PT30M,UNITLESS,INST
CTS_SNOW_DIAG_3_30MIN_RAW,COSMOS Snow probe diagnostic 3,DIAG_CRNS,RAW,PT30M,PT30M,UNITLESS,INST
CTS_SNOW_DIAG_4_30MIN_RAW,COSMOS Snow probe diagnostic 4,DIAG_CRNS,RAW,PT30M,PT30M,UNITLESS,INST
CTS_SNOW_DIAG_5_30MIN_RAW,COSMOS Snow probe diagnostic 5,DIAG_CRNS,RAW,PT30M,PT30M,UNITLESS,INST
CTS_SNOW_PERIOD_30MIN_RAW,Number of seconds SnowFox tube took measurements,MEASURE_PERIOD,RAW,PT30M,PT30M,SEC,TOTAL_PREC
CTS_SNOW_RH_30MIN_RAW,Relative humidity in COSMOS Snow tube,RH,RAW,PT30M,PT30M,PCT,INST
CTS_SNOW_TEMP_30MIN_RAW,Temperature in COSMOS Snow tube,TEMP_CRNS,RAW,PT30M,PT30M,DEGC,INST
E_SAT_MEAN_30MIN_RAW,Saturated water vapour pressure,VAPOUR_P,RAW,PT30M,PT30M,KPA,INST
G1_30MIN_RAW,Soil heat flux 1,HEATFLUX_SOIL,RAW,PT30M,PT30M,WM-2,MEAN_PREC
G1_CAL_30MIN_RAW,Calibration (multiplier) for soil heat flux plate 1,HEATFLUX_SOIL,RAW,PT30M,PT30M,UNITLESS,INST
G1_MV_30MIN_RAW,Uncalibrated soil heat flux 1,HEATFLUX_SOIL,RAW,PT30M,PT30M,MV,INST
G1_STD_30MIN_RAW,Soil heat flux 1 std dev,HEATFLUX_SOIL,RAW,PT30M,PT30M,WM-2,INST
G2_30MIN_RAW,Soil heat flux 2,HEATFLUX_SOIL,RAW,PT30M,PT30M,WM-2,MEAN_PREC
G2_CAL_30MIN_RAW,Calibration (multiplier) for soil heat flux plate 2,HEATFLUX_SOIL,RAW,PT30M,PT30M,UNITLESS,INST
G2_MV_30MIN_RAW,Uncalibrated soil heat flux 2,HEATFLUX_SOIL,RAW,PT30M,PT30M,MV,INST
